R_age,P_age,R_yrsed,P_yrsed,R_race,P_race,R_political,P_political,R_religion,P_religion,R_work,R_house,R_rent,R_citydweller,R_region,same_sex_couple,relationship_quality,coresident,relationship_length_start,age_difference,edu_difference,rac_difference,pol_difference,relig_difference,LGB_status,union_status,broke_up,together_end
37,33.0,16.0,13.0,Hispanic,Hispanic,democrat,democrat,catholic,catholic,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south,same-sex couple,good,Yes,2.5,4.0,3.0,no,no,no,G,none,w3,no
36,37.0,14.0,12.0, NH black, NH black,democrat,democrat,baptist - any denomination,baptist - any denomination,working,a building with 2 or more apartments,rented for cash,metro,south,different sex couple,good,No,5.0,-1.0,2.0,no,no,no,B,none,w3,no
68,36.0,16.0,16.0,NH white, NH Asian Pac Islander,democrat,other,baptist - any denomination,none,retired,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west,same-sex couple,excellent,Yes,12.0,32.0,0.0,yes,yes,yes,G,none,no,yes
53,57.0,16.0,17.0,Hispanic,NH white,democrat,democrat,none,"other non-christian, please specify",working,a one-family house detached from any other house,rented for cash,metro,west,same-sex couple,good,Yes,10.0,-4.0,-1.0,yes,no,yes,L,none,no,yes
44,41.0,13.0,16.0,NH white,NH white,democrat,democrat,other christian,none,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south,same-sex couple,excellent,No,0.75,3.0,-3.0,no,no,yes,L,none,w2,no
48,38.0,13.0,13.0,NH white,NH white,democrat,other,none,none,disabled,a building with 2 or more apartments,rented for cash,metro,south,different sex couple,good,No,0.75,10.0,0.0,no,yes,no,B,none,w2,no
54,48.0,17.0,16.0,NH white,NH white,democrat,democrat,catholic,"protestant (e.g. methodist, lutheran, presbyterian, episcopal)",working,a one-family house attached to one or more houses,owned or being bought by you or someone in your household,metro,midwest,same-sex couple,good,Yes,20.0,6.0,1.0,no,no,yes,L,married,no,yes
73,59.0,17.0,17.0,NH white,NH white,democrat,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","protestant (e.g. methodist, lutheran, presbyterian, episcopal)",retired,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest,different sex couple,good,Yes,26.0,14.0,0.0,no,no,yes,B,married,no,yes
65,64.0,16.0,16.0,NH white,NH white,democrat,democrat,other christian,other christian,working,a one-family house attached to one or more houses,rented for cash,metro,northeast,same-sex couple,excellent,Yes,30.0,1.0,0.0,no,no,no,G,none,no,yes
76,58.0,16.0,13.0,NH white,NH white,democrat,democrat,none,catholic,retired,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south,same-sex couple,excellent,Yes,35.0,18.0,3.0,no,no,yes,G,none,no,yes
54,52.0,16.0,13.0,NH white,NH white,democrat,republican,catholic,"protestant (e.g. methodist, lutheran, presbyterian, episcopal)",working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest,different sex couple,excellent,No,4.0,2.0,3.0,no,yes,yes,B,none,no,yes
56,50.0,16.0,16.0,NH white,NH white,democrat,other,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","protestant (e.g. methodist, lutheran, presbyterian, episcopal)",working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south,same-sex couple,excellent,No,4.0,6.0,0.0,no,yes,yes,G,none,w3,no
38,39.0,16.0,20.0,NH white,NH white,republican,other,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",catholic,other,a building with 2 or more apartments,rented for cash,metro,west,different sex couple,fair,Yes,19.0,-1.0,-4.0,no,yes,yes,B,married,no,yes
31,26.0,17.0,17.0,NH white,Hispanic,democrat,other,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",catholic,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,northeast,same-sex couple,good,Yes,4.0,5.0,0.0,yes,yes,yes,B,none,no,yes
64,64.0,13.0,16.0,NH white,NH white,democrat,democrat,none,other christian,working,a one-family house detached from any other house,rented for cash,metro,west,same-sex couple,excellent,Yes,30.0,0.0,-3.0,no,no,yes,B,married,no,yes
47,38.0,13.0,13.0,NH white,NH white,democrat,democrat,"other non-christian, please specify",baptist - any denomination,working,a building with 2 or more apartments,rented for cash,metro,west,same-sex couple,good,No,11.0,9.0,0.0,no,no,yes,B,none,w2,no
40,45.0,16.0,16.0,NH white,NH white,other,republican,other christian,"protestant (e.g. methodist, lutheran, presbyterian, episcopal)",working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest,different sex couple,good,Yes,14.0,-5.0,0.0,no,yes,yes,B,married,no,yes
37,27.0,12.0,12.0,NH white,NH white,democrat,other,none,"other non-christian, please specify",other,a mobile home,owned or being bought by you or someone in your household,metro,south,different sex couple,excellent,Yes,8.0,10.0,0.0,no,yes,yes,B,married,no,yes
27,24.0,13.0,13.0,NH white,NH white,republican,democrat,eastern orthodox,none,disabled,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south,different sex couple,excellent,No,2.5,3.0,0.0,no,yes,yes,B,none,no,yes
73,80.0,13.0,20.0,NH white,NH white,democrat,democrat,"other non-christian, please specify","protestant (e.g. methodist, lutheran, presbyterian, episcopal)",retired,a one-family house attached to one or more houses,owned or being bought by you or someone in your household,metro,south,same-sex couple,excellent,Yes,18.0,-7.0,-7.0,no,no,yes,L,CU_DP,no,yes
27,26.0,17.0,17.0, NH Amer Indian, NH Asian Pac Islander,democrat,other,jewish,other christian,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south,different sex couple,good,No,1.5,1.0,0.0,yes,yes,yes,S,none,no,yes
74,74.0,20.0,12.0,NH white,NH white,democrat,other,none,none,retired,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest,same-sex couple,excellent,Yes,43.0,0.0,8.0,no,yes,no,G,none,no,yes
52,71.0,17.0,16.0,NH white,NH white,democrat,republican,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","protestant (e.g. methodist, lutheran, presbyterian, episcopal)",working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west,same-sex couple,excellent,Yes,19.0,-19.0,1.0,no,yes,yes,B,none,no,yes
48,62.0,14.0,16.0, NH Asian Pac Islander,NH white,democrat,other,catholic,baptist - any denomination,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south,same-sex couple,excellent,Yes,8.0,-14.0,-2.0,yes,yes,yes,L,CU_DP,no,yes
71,70.0,12.0,13.0,NH white,NH white,democrat,other,catholic,"protestant (e.g. methodist, lutheran, presbyterian, episcopal)",working,a building with 2 or more apartments,rented for cash,metro,midwest,different sex couple,excellent,No,51.0,1.0,-1.0,no,yes,yes,B,none,w2,no
64,51.0,13.0,14.0,NH white,NH white,democrat,other,baptist - any denomination,baptist - any denomination,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south,same-sex couple,excellent,Yes,21.0,13.0,-1.0,no,yes,no,L,married,no,yes
49,40.0,13.0,20.0,NH white,NH white,democrat,democrat,none,none,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west,same-sex couple,excellent,No,2.5,9.0,-7.0,no,no,no,L,none,no,yes
38,41.0,16.0,12.0,NH white,NH white,republican,other,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","protestant (e.g. methodist, lutheran, presbyterian, episcopal)",working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south,same-sex couple,good,Yes,14.0,-3.0,4.0,no,yes,yes,G,none,w2,no
41,51.0,16.0,17.0, NH black, NH Other,democrat,other,baptist - any denomination,muslim,working,a building with 2 or more apartments,rented for cash,metro,northeast,same-sex couple,excellent,Yes,17.0,-10.0,-1.0,yes,yes,yes,G,married,w2,no
44,50.0,12.0,13.0,NH white,NH white,democrat,republican,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",mormon,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west,different sex couple,fair,Yes,6.0,-6.0,-1.0,no,yes,yes,S,none,no,yes
48,47.0,13.0,17.0,Hispanic,NH white,democrat,democrat,catholic,catholic,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest,same-sex couple,good,Yes,17.0,1.0,-4.0,yes,no,no,L,none,no,yes
63,75.0,17.0,17.0,NH white,NH white,democrat,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","protestant (e.g. methodist, lutheran, presbyterian, episcopal)",retired,a one-family house attached to one or more houses,rented for cash,metro,midwest,different sex couple,excellent,Yes,36.0,-12.0,0.0,no,no,yes,B,married,no,yes
56,54.0,14.0,16.0,NH white,NH white,democrat,other,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",none,disabled,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south,same-sex couple,fair,No,2.5,2.0,-2.0,no,yes,yes,G,none,w2,no
34,29.0,12.0,12.0,NH white,NH white,democrat,other,none,none,disabled,a one-family house detached from any other house,rented for cash,metro,northeast,different sex couple,fair,No,13.0,5.0,0.0,no,yes,no,B,none,w2,no
36,31.0,13.0,12.0,NH white, NH black,democrat,democrat,pentecostal,none,disabled,a building with 2 or more apartments,rented for cash,metro,midwest,different sex couple,fair,No,1.5,5.0,1.0,yes,no,yes,B,none,w3,no
42,43.0,17.0,16.0,NH white,NH white,democrat,democrat,none,none,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west,same-sex couple,excellent,No,0.45,-1.0,1.0,no,no,no,L,none,w3,no
22,20.0,13.0,13.0,NH white,Hispanic,democrat,other,none,catholic,other,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest,different sex couple,excellent,No,0.75,2.0,0.0,yes,yes,yes,S,none,no,yes
51,74.0,13.0,17.0,NH white,NH white,democrat,democrat,"other non-christian, please specify",catholic,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south,same-sex couple,excellent,Yes,30.0,-23.0,-4.0,no,no,yes,L,none,no,yes
38,42.0,20.0,17.0,NH white,NH white,democrat,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","protestant (e.g. methodist, lutheran, presbyterian, episcopal)",working,a one-family house attached to one or more houses,owned or being bought by you or someone in your household,metro,northeast,same-sex couple,excellent,Yes,5.0,-4.0,3.0,no,no,yes,B,married,no,yes
65,51.0,13.0,14.0,NH white,NH white,democrat,other,catholic,other christian,retired,a one-family house detached from any other house,owned or being bought by you or someone in your household,non-metro,south,different sex couple,excellent,Yes,38.0,14.0,-1.0,no,yes,yes,S,married,no,yes
45,38.0,13.0,13.0, NH Other,Hispanic,democrat,democrat,none,none,working,a one-family house attached to one or more houses,owned or being bought by you or someone in your household,metro,west,same-sex couple,excellent,Yes,6.0,7.0,0.0,yes,no,no,L,none,no,yes
56,56.0,17.0,13.0,NH white,NH white,republican,other,"other non-christian, please specify",catholic,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,non-metro,midwest,different sex couple,excellent,Yes,41.0,0.0,4.0,no,yes,yes,B,married,no,yes
47,43.0,17.0,16.0,NH white,NH white,republican,other,catholic,catholic,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest,same-sex couple,good,No,22.0,4.0,1.0,no,yes,no,G,none,no,yes
54,47.0,16.0,17.0,NH white,NH white,republican,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","protestant (e.g. methodist, lutheran, presbyterian, episcopal)",working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south,same-sex couple,excellent,Yes,13.0,7.0,-1.0,no,yes,yes,B,married,no,yes
48,57.0,17.0,17.0,Hispanic, NH black,democrat,democrat,none,baptist - any denomination,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west,same-sex couple,good,No,10.0,-9.0,0.0,yes,no,yes,B,none,w2,no
37,61.0,13.0,12.0,NH white,NH white,democrat,republican,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",none,unemployed,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,northeast,different sex couple,good,No,1.5,-24.0,1.0,no,yes,yes,B,none,no,yes
69,61.0,17.0,17.0,NH white,NH white,republican,democrat,mormon,"protestant (e.g. methodist, lutheran, presbyterian, episcopal)",retired,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west,same-sex couple,excellent,Yes,20.0,8.0,0.0,no,yes,yes,G,married,no,yes
49,48.0,17.0,13.0,NH white,NH white,democrat,other,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",other christian,working,a one-family house attached to one or more houses,owned or being bought by you or someone in your household,non-metro,south,same-sex couple,excellent,Yes,4.0,1.0,4.0,no,yes,yes,G,married,no,yes
56,59.0,13.0,13.0,NH white,NH white,democrat,democrat,jewish,other christian,disabled,a building with 2 or more apartments,owned or being bought by you or someone in your household,metro,west,same-sex couple,good,Yes,21.0,-3.0,0.0,no,no,yes,G,married,no,yes
43,43.0,16.0,16.0,NH white,NH white,democrat,democrat,none,none,working,a building with 2 or more apartments,rented for cash,metro,south,same-sex couple,excellent,Yes,14.0,0.0,0.0,no,no,no,G,married,no,yes
62,72.0,17.0,17.0,NH white,NH white,democrat,democrat,none,none,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest,same-sex couple,excellent,No,32.0,-10.0,0.0,no,no,no,B,none,no,yes
61,55.0,16.0,20.0,NH white,NH white,democrat,democrat,none,none,retired,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west,same-sex couple,good,Yes,14.0,6.0,-4.0,no,no,no,B,none,no,yes
43,43.0,17.0,16.0,NH white,NH white,democrat,democrat,none,jewish,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west,different sex couple,fair,Yes,15.0,0.0,1.0,no,no,yes,B,married,no,yes
53,53.0,17.0,17.0,NH white,NH white,democrat,democrat,none,"protestant (e.g. methodist, lutheran, presbyterian, episcopal)",working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest,same-sex couple,excellent,Yes,24.0,0.0,0.0,no,no,yes,G,none,no,yes
41,42.0,16.0,17.0,NH white,NH white,democrat,democrat,none,"protestant (e.g. methodist, lutheran, presbyterian, episcopal)",working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,northeast,same-sex couple,good,No,0.75,-1.0,-1.0,no,no,yes,L,none,w2,no
38,45.0,20.0,13.0,NH white,NH white,democrat,republican,other christian,other christian,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south,same-sex couple,excellent,Yes,4.0,-7.0,7.0,no,yes,no,B,married,no,yes
42,31.0,12.0,13.0,NH white,Hispanic,democrat,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",baptist - any denomination,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south,same-sex couple,good,Yes,1.5,11.0,-1.0,yes,no,yes,B,none,w2,no
55,49.0,17.0,16.0,NH white,NH white,democrat,democrat,none,jewish,working,a building with 2 or more apartments,owned or being bought by you or someone in your household,metro,northeast,same-sex couple,excellent,Yes,14.0,6.0,1.0,no,no,yes,G,none,no,yes
49,42.0,14.0,14.0,NH white,Hispanic,democrat,republican,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",catholic,unemployed,a one-family house attached to one or more houses,owned or being bought by you or someone in your household,metro,northeast,different sex couple,excellent,Yes,2.5,7.0,0.0,yes,yes,yes,B,none,no,yes
33,44.0,13.0,10.0,NH white,NH white,other,other,baptist - any denomination,none,disabled,a mobile home,owned or being bought by you or someone in your household,metro,south,different sex couple,excellent,Yes,14.0,-11.0,3.0,no,no,yes,B,none,no,yes
53,45.0,14.0,13.0,Hispanic,NH white,republican,other,baptist - any denomination,baptist - any denomination,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest,different sex couple,excellent,Yes,30.0,8.0,1.0,yes,yes,no,S,married,no,yes
28,23.0,12.0,12.0,NH white,NH white,democrat,democrat,"other non-christian, please specify","other non-christian, please specify",working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest,same-sex couple,very poor,Yes,1.5,5.0,0.0,no,no,no,G,none,w2,no
25,29.0,14.0,14.0,NH white,NH white,democrat,republican,other christian,none,other,a one-family house attached to one or more houses,rented for cash,metro,west,different sex couple,good,Yes,7.0,-4.0,0.0,no,yes,yes,B,married,no,yes
19,22.0,12.0,13.0, NH black,NH white,democrat,democrat,"other non-christian, please specify",none,disabled,a one-family house detached from any other house,rented for cash,metro,south,different sex couple,excellent,Yes,2.5,-3.0,-1.0,yes,no,yes,B,none,no,yes
42,51.0,13.0,12.0,NH white,NH white,democrat,other,catholic,none,working,a one-family house detached from any other house,rented for cash,metro,midwest,different sex couple,excellent,No,0.75,-9.0,1.0,no,yes,yes,B,CU_DP,w3,no
46,48.0,20.0,13.0,NH white,NH white,democrat,democrat,"other non-christian, please specify",baptist - any denomination,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest,different sex couple,excellent,Yes,31.0,-2.0,7.0,no,no,yes,B,married,no,yes
37,43.0,14.0,14.0,NH white,NH white,republican,democrat,"other non-christian, please specify",catholic,unemployed,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west,same-sex couple,good,No,1.5,-6.0,0.0,no,yes,yes,B,none,w3,no
34,31.0,13.0,13.0,NH white, NH black,republican,other,baptist - any denomination,baptist - any denomination,working,a building with 2 or more apartments,rented for cash,metro,west,different sex couple,good,Yes,9.0,3.0,0.0,yes,yes,no,B,married,no,yes
49,46.0,13.0,16.0,NH white,NH white,democrat,other,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","protestant (e.g. methodist, lutheran, presbyterian, episcopal)",working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west,same-sex couple,excellent,Yes,30.0,3.0,-3.0,no,yes,yes,G,CU_DP,no,yes
40,39.0,17.0,17.0,NH white,NH white,democrat,democrat,"other non-christian, please specify","other non-christian, please specify",working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west,different sex couple,excellent,Yes,20.0,1.0,0.0,no,no,no,B,married,no,yes
54,64.0,16.0,16.0,NH white,NH white,democrat,democrat,none,catholic,disabled,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west,same-sex couple,good,Yes,8.0,-10.0,0.0,no,no,yes,G,married,no,yes
54,60.0,13.0,12.0, NH Asian Pac Islander,NH white,democrat,democrat,none,none,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west,same-sex couple,good,Yes,34.0,-6.0,1.0,yes,no,no,L,CU_DP,no,yes
39,39.0,13.0,16.0,NH white,NH white,democrat,democrat,other christian,none,other,a one-family house detached from any other house,occupied without payment of cash rent,metro,west,different sex couple,good,Yes,4.0,0.0,-3.0,no,no,yes,B,married,w3,no
59,51.0,20.0,16.0,NH white,Hispanic,democrat,democrat,none,none,retired,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west,same-sex couple,good,Yes,19.0,8.0,4.0,yes,no,no,L,none,no,yes
39,41.0,17.0,17.0,NH white,NH white,democrat,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","protestant (e.g. methodist, lutheran, presbyterian, episcopal)",working,a building with 2 or more apartments,rented for cash,metro,northeast,same-sex couple,excellent,Yes,9.0,-2.0,0.0,no,no,yes,L,none,no,yes
49,53.0,17.0,7.5,NH white,NH white,democrat,other,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",none,working,a one-family house attached to one or more houses,owned or being bought by you or someone in your household,metro,south,different sex couple,poor,No,10.0,-4.0,9.5,no,yes,yes,B,married,no,yes
71,44.0,16.0,16.0,NH white,NH white,democrat,other,"other non-christian, please specify","protestant (e.g. methodist, lutheran, presbyterian, episcopal)",retired,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west,same-sex couple,good,Yes,17.0,27.0,0.0,no,yes,yes,B,CU_DP,no,yes
40,57.0,16.0,13.0,NH white,NH white,republican,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","other non-christian, please specify",working,a building with 2 or more apartments,rented for cash,metro,west,different sex couple,good,No,0.75,-17.0,3.0,no,yes,yes,B,none,w2,no
33,34.0,16.0,13.0,NH white,NH white,democrat,other,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",other christian,working,a one-family house attached to one or more houses,owned or being bought by you or someone in your household,metro,south,same-sex couple,excellent,Yes,15.0,-1.0,3.0,no,yes,yes,L,married,no,yes
59,78.0,16.0,17.0,NH white,NH white,democrat,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","protestant (e.g. methodist, lutheran, presbyterian, episcopal)",unemployed,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west,same-sex couple,excellent,No,8.0,-19.0,-1.0,no,no,yes,B,none,no,yes
36,37.0,13.0,13.0, NH black,NH white,democrat,democrat,baptist - any denomination,catholic,disabled,a one-family house attached to one or more houses,owned or being bought by you or someone in your household,metro,northeast,same-sex couple,excellent,Yes,4.0,-1.0,0.0,yes,no,yes,B,none,no,yes
48,58.0,14.0,16.0,Hispanic,NH white,democrat,democrat,catholic,"other non-christian, please specify",working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west,same-sex couple,excellent,Yes,8.0,-10.0,-2.0,yes,no,yes,B,none,no,yes
49,50.0,16.0,17.0,NH white,NH white,democrat,democrat,jewish,jewish,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,northeast,different sex couple,good,Yes,23.0,-1.0,-1.0,no,no,no,B,married,no,yes
31,25.0,13.0,5.5,Hispanic,Hispanic,republican,other,catholic,other christian,working,a one-family house detached from any other house,rented for cash,metro,south,different sex couple,fair,No,0.45,6.0,7.5,no,yes,yes,B,married,w2,no
60,59.0,16.0,17.0,Hispanic,NH white,democrat,democrat,jewish,jewish,working,a one-family house attached to one or more houses,owned or being bought by you or someone in your household,metro,west,same-sex couple,excellent,Yes,27.0,1.0,-1.0,yes,no,no,L,married,no,yes
43,40.0,16.0,20.0,NH white,NH white,democrat,other,other christian,jewish,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west,same-sex couple,excellent,Yes,11.0,3.0,-4.0,no,yes,yes,L,married,no,yes
48,57.0,20.0,16.0,NH white,NH white,democrat,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",other christian,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south,same-sex couple,good,Yes,20.0,-9.0,4.0,no,no,yes,G,married,no,yes
32,30.0,13.0,13.0,NH white,NH white,democrat,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)","protestant (e.g. methodist, lutheran, presbyterian, episcopal)",working,a one-family house attached to one or more houses,owned or being bought by you or someone in your household,metro,south,same-sex couple,excellent,Yes,6.0,2.0,0.0,no,no,yes,L,none,w3,no
56,60.0,16.0,16.0,NH white,NH white,republican,democrat,catholic,"protestant (e.g. methodist, lutheran, presbyterian, episcopal)",working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,northeast,same-sex couple,excellent,Yes,17.0,-4.0,0.0,no,yes,yes,L,married,no,yes
44,45.0,16.0,14.0,NH white,NH white,republican,democrat,eastern orthodox,none,working,a building with 2 or more apartments,owned or being bought by you or someone in your household,metro,west,same-sex couple,good,Yes,15.0,-1.0,2.0,no,yes,yes,G,CU_DP,no,yes
