single_status,R_age,R_yrsed,R_race,R_political,R_religion,R_gender,R_work,R_house,R_rent,R_citydweller,R_region
single,60,13.0,NH white,republican,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",male,retired,a building with 2 or more apartments,rented for cash,metro,west
partnered,37,16.0,Hispanic,democrat,catholic,male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
single,43,13.0,NH white,democrat,"other non-christian, please specify",male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest
partnered,36,14.0, NH black,democrat,baptist - any denomination,female,working,a building with 2 or more apartments,rented for cash,metro,south
partnered,68,16.0,NH white,democrat,baptist - any denomination,male,retired,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west
partnered,53,16.0,Hispanic,democrat,none,female,working,a one-family house detached from any other house,rented for cash,metro,west
single,48,12.0,NH white,republican,catholic,female,working,a building with 2 or more apartments,owned or being bought by you or someone in your household,metro,northeast
single,26,17.0,NH white,democrat,jewish,female,unemployed,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
single,43,13.0,NH white,democrat,baptist - any denomination,male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
partnered,44,13.0,NH white,democrat,other christian,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
single,34,16.0,NH white,democrat,none,female,unemployed,a one-family house detached from any other house,owned or being bought by you or someone in your household,non-metro,midwest
partnered,48,13.0,NH white,democrat,none,male,disabled,a building with 2 or more apartments,rented for cash,metro,south
single,53,16.0,NH white,democrat,none,female,disabled,a building with 2 or more apartments,owned or being bought by you or someone in your household,metro,midwest
partnered,54,17.0,NH white,democrat,catholic,female,working,a one-family house attached to one or more houses,owned or being bought by you or someone in your household,metro,midwest
single,60,13.0,NH white,democrat,"other non-christian, please specify",female,disabled,a building with 2 or more apartments,rented for cash,metro,northeast
single,41,17.0,NH white,democrat,buddhist,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,non-metro,west
single,68,16.0,NH white,democrat,none,male,retired,a building with 2 or more apartments,occupied without payment of cash rent,metro,south
single,40,16.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,non-metro,south
partnered,73,17.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",male,retired,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest
partnered,65,16.0,NH white,democrat,other christian,male,working,a one-family house attached to one or more houses,rented for cash,metro,northeast
partnered,76,16.0,NH white,democrat,none,male,retired,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
single,31,13.0,NH white,democrat,buddhist,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,northeast
single,62,17.0,NH white,democrat,catholic,female,retired,a one-family house detached from any other house,owned or being bought by you or someone in your household,non-metro,northeast
single,30,12.0,NH white,democrat,catholic,female,unemployed,a building with 2 or more apartments,rented for cash,metro,midwest
partnered,54,16.0,NH white,democrat,catholic,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest
partnered,56,16.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
partnered,38,16.0,NH white,republican,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",female,other,a building with 2 or more apartments,rented for cash,metro,west
partnered,31,17.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,northeast
partnered,64,13.0,NH white,democrat,none,male,working,a one-family house detached from any other house,rented for cash,metro,west
partnered,47,13.0,NH white,democrat,"other non-christian, please specify",male,working,a building with 2 or more apartments,rented for cash,metro,west
partnered,40,16.0,NH white,other,other christian,male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest
partnered,37,12.0,NH white,democrat,none,female,other,a mobile home,owned or being bought by you or someone in your household,metro,south
partnered,27,13.0,NH white,republican,eastern orthodox,female,disabled,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
partnered,73,13.0,NH white,democrat,"other non-christian, please specify",female,retired,a one-family house attached to one or more houses,owned or being bought by you or someone in your household,metro,south
partnered,27,17.0, NH Amer Indian,democrat,jewish,male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
partnered,74,20.0,NH white,democrat,none,male,retired,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest
partnered,52,17.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west
single,67,12.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",male,retired,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,northeast
single,67,16.0,NH white,democrat,none,female,retired,a building with 2 or more apartments,rented for cash,metro,west
partnered,48,14.0, NH Asian Pac Islander,democrat,catholic,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
single,53,17.0,NH white,democrat,none,female,working,a one-family house attached to one or more houses,owned or being bought by you or someone in your household,metro,west
single,38,16.0, NH Amer Indian,democrat,none,female,working,a building with 2 or more apartments,rented for cash,metro,west
partnered,71,12.0,NH white,democrat,catholic,male,working,a building with 2 or more apartments,rented for cash,metro,midwest
partnered,64,13.0,NH white,democrat,baptist - any denomination,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
single,20,13.0,NH white,democrat,"other non-christian, please specify",female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest
single,45,16.0,NH white,democrat,catholic,male,working,a one-family house attached to one or more houses,owned or being bought by you or someone in your household,metro,south
partnered,49,13.0,NH white,democrat,none,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west
partnered,38,16.0,NH white,republican,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
partnered,41,16.0, NH black,democrat,baptist - any denomination,male,working,a building with 2 or more apartments,rented for cash,metro,northeast
single,65,17.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",female,working,a building with 2 or more apartments,rented for cash,metro,west
partnered,44,12.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west
partnered,48,13.0,Hispanic,democrat,catholic,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest
partnered,63,17.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",male,retired,a one-family house attached to one or more houses,rented for cash,metro,midwest
single,50,12.0,NH white,democrat,none,male,working,a building with 2 or more apartments,rented for cash,metro,south
partnered,56,14.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",male,disabled,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
partnered,34,12.0,NH white,democrat,none,male,disabled,a one-family house detached from any other house,rented for cash,metro,northeast
single,65,16.0, NH black,democrat,baptist - any denomination,male,retired,a building with 2 or more apartments,rented for cash,metro,midwest
partnered,36,13.0,NH white,democrat,pentecostal,female,disabled,a building with 2 or more apartments,rented for cash,metro,midwest
partnered,42,17.0,NH white,democrat,none,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west
partnered,22,13.0,NH white,democrat,none,male,other,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest
partnered,51,13.0,NH white,democrat,"other non-christian, please specify",female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
partnered,38,20.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",female,working,a one-family house attached to one or more houses,owned or being bought by you or someone in your household,metro,northeast
single,54,13.0,NH white,democrat,none,male,working,a building with 2 or more apartments,rented for cash,metro,northeast
partnered,65,13.0,NH white,democrat,catholic,male,retired,a one-family house detached from any other house,owned or being bought by you or someone in your household,non-metro,south
single,59,12.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",male,retired,a building with 2 or more apartments,rented for cash,metro,west
single,56,16.0,NH white,democrat,none,male,unemployed,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest
partnered,45,13.0, NH Other,democrat,none,female,working,a one-family house attached to one or more houses,owned or being bought by you or someone in your household,metro,west
single,56,13.0,NH white,democrat,none,male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
single,68,17.0,NH white,democrat,eastern orthodox,male,retired,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,northeast
partnered,56,17.0,NH white,republican,"other non-christian, please specify",male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,non-metro,midwest
single,32,17.0,NH white,democrat,none,male,working,a building with 2 or more apartments,occupied without payment of cash rent,metro,northeast
partnered,47,17.0,NH white,republican,catholic,male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest
single,79,16.0,NH white,democrat,"other non-christian, please specify",male,retired,a building with 2 or more apartments,rented for cash,metro,northeast
partnered,54,16.0,NH white,republican,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
partnered,48,17.0,Hispanic,democrat,none,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west
partnered,37,13.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",female,unemployed,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,northeast
partnered,69,17.0,NH white,republican,mormon,male,retired,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west
partnered,49,17.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",male,working,a one-family house attached to one or more houses,owned or being bought by you or someone in your household,non-metro,south
partnered,56,13.0,NH white,democrat,jewish,male,disabled,a building with 2 or more apartments,owned or being bought by you or someone in your household,metro,west
single,44,16.0,NH white,democrat,catholic,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,northeast
single,70,13.0,NH white,republican,catholic,male,retired,a building with 2 or more apartments,owned or being bought by you or someone in your household,metro,northeast
partnered,43,16.0,NH white,democrat,none,male,working,a building with 2 or more apartments,rented for cash,metro,south
partnered,62,17.0,NH white,democrat,none,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest
partnered,61,16.0,NH white,democrat,none,female,retired,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west
partnered,43,17.0,NH white,democrat,none,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west
partnered,53,17.0,NH white,democrat,none,male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest
partnered,41,16.0,NH white,democrat,none,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,northeast
partnered,38,20.0,NH white,democrat,other christian,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
partnered,42,12.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
partnered,55,17.0,NH white,democrat,none,male,working,a building with 2 or more apartments,owned or being bought by you or someone in your household,metro,northeast
partnered,49,14.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",female,unemployed,a one-family house attached to one or more houses,owned or being bought by you or someone in your household,metro,northeast
single,50,20.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",female,working,a building with 2 or more apartments,rented for cash,metro,midwest
partnered,33,13.0,NH white,other,baptist - any denomination,female,disabled,a mobile home,owned or being bought by you or someone in your household,metro,south
single,47,16.0,NH white,democrat,catholic,male,disabled,a one-family house detached from any other house,owned or being bought by you or someone in your household,non-metro,west
partnered,53,14.0,Hispanic,republican,baptist - any denomination,male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest
partnered,28,12.0,NH white,democrat,"other non-christian, please specify",male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest
single,60,20.0,NH white,republican,jewish,male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest
partnered,25,14.0,NH white,democrat,other christian,female,other,a one-family house attached to one or more houses,rented for cash,metro,west
single,67,17.0,NH white,democrat,jewish,male,working,a building with 2 or more apartments,owned or being bought by you or someone in your household,metro,midwest
single,47,16.0, NH black,democrat,baptist - any denomination,male,working,a building with 2 or more apartments,owned or being bought by you or someone in your household,metro,south
partnered,19,12.0, NH black,democrat,"other non-christian, please specify",female,disabled,a one-family house detached from any other house,rented for cash,metro,south
partnered,42,13.0,NH white,democrat,catholic,female,working,a one-family house detached from any other house,rented for cash,metro,midwest
partnered,46,20.0,NH white,democrat,"other non-christian, please specify",female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest
partnered,37,14.0,NH white,republican,"other non-christian, please specify",female,unemployed,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west
single,62,14.0,NH white,democrat,"other non-christian, please specify",female,disabled,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
partnered,34,13.0,NH white,republican,baptist - any denomination,male,working,a building with 2 or more apartments,rented for cash,metro,west
partnered,49,13.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west
partnered,40,17.0,NH white,democrat,"other non-christian, please specify",female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west
partnered,54,16.0,NH white,democrat,none,male,disabled,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west
single,65,17.0,NH white,republican,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,non-metro,midwest
partnered,54,13.0, NH Asian Pac Islander,democrat,none,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west
partnered,39,13.0,NH white,democrat,other christian,female,other,a one-family house detached from any other house,occupied without payment of cash rent,metro,west
single,60,16.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west
partnered,59,20.0,NH white,democrat,none,female,retired,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west
partnered,39,17.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",female,working,a building with 2 or more apartments,rented for cash,metro,northeast
single,59,13.0,NH white,democrat,none,female,unemployed,a building with 2 or more apartments,rented for cash,metro,west
single,31,13.0,NH white,democrat,"other non-christian, please specify",male,working,a building with 2 or more apartments,rented for cash,metro,northeast
partnered,49,17.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",female,working,a one-family house attached to one or more houses,owned or being bought by you or someone in your household,metro,south
partnered,71,16.0,NH white,democrat,"other non-christian, please specify",female,retired,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west
partnered,40,16.0,NH white,republican,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",male,working,a building with 2 or more apartments,rented for cash,metro,west
partnered,33,16.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",female,working,a one-family house attached to one or more houses,owned or being bought by you or someone in your household,metro,south
single,75,12.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",male,retired,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest
single,53,13.0,Hispanic,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest
partnered,59,16.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",male,unemployed,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west
partnered,36,13.0, NH black,democrat,baptist - any denomination,female,disabled,a one-family house attached to one or more houses,owned or being bought by you or someone in your household,metro,northeast
single,57,14.0,NH white,democrat,none,female,working,a building with 2 or more apartments,owned or being bought by you or someone in your household,metro,midwest
single,68,16.0,NH white,republican,catholic,male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest
single,55,17.0,NH white,republican,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",male,working,a building with 2 or more apartments,rented for cash,metro,northeast
partnered,48,14.0,Hispanic,democrat,catholic,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west
single,68,13.0,NH white,democrat,none,male,retired,a building with 2 or more apartments,rented for cash,metro,west
single,46,13.0, NH Other,democrat,baptist - any denomination,male,working,a mobile home,owned or being bought by you or someone in your household,metro,midwest
partnered,49,16.0,NH white,democrat,jewish,male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,northeast
single,58,9.0,NH white,republican,baptist - any denomination,male,disabled,a one-family house detached from any other house,rented for cash,metro,south
partnered,31,13.0,Hispanic,republican,catholic,female,working,a one-family house detached from any other house,rented for cash,metro,south
single,64,13.0,NH white,democrat,catholic,male,retired,a building with 2 or more apartments,rented for cash,metro,midwest
partnered,60,16.0,Hispanic,democrat,jewish,female,working,a one-family house attached to one or more houses,owned or being bought by you or someone in your household,metro,west
single,46,16.0,Hispanic,democrat,catholic,male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest
single,53,14.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",male,disabled,a building with 2 or more apartments,rented for cash,metro,west
partnered,43,16.0,NH white,democrat,other christian,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west
partnered,48,20.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
single,45,13.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",male,disabled,a one-family house detached from any other house,rented for cash,metro,west
single,53,17.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",male,working,a one-family house attached to one or more houses,owned or being bought by you or someone in your household,metro,south
single,61,16.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",male,unemployed,a building with 2 or more apartments,rented for cash,metro,west
single,33,16.0,NH white,democrat,catholic,male,working,a one-family house attached to one or more houses,owned or being bought by you or someone in your household,metro,northeast
single,44,17.0,NH white,democrat,catholic,male,working,a building with 2 or more apartments,owned or being bought by you or someone in your household,metro,midwest
partnered,32,13.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",female,working,a one-family house attached to one or more houses,owned or being bought by you or someone in your household,metro,south
partnered,56,16.0,NH white,republican,catholic,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,northeast
single,32,13.0,NH white,democrat,buddhist,male,disabled,a building with 2 or more apartments,rented for cash,metro,northeast
partnered,44,16.0,NH white,republican,eastern orthodox,male,working,a building with 2 or more apartments,owned or being bought by you or someone in your household,metro,west
partnered,36,13.0,NH white,republican,none,male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
partnered,45,16.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest
single,50,11.0, NH black,democrat,catholic,female,working,a building with 2 or more apartments,occupied without payment of cash rent,metro,south
partnered,38,17.0,NH white,democrat,none,male,working,a building with 2 or more apartments,rented for cash,metro,northeast
partnered,22,13.0, NH black,democrat,baptist - any denomination,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,non-metro,south
single,36,14.0, NH Other,democrat,catholic,female,working,a building with 2 or more apartments,rented for cash,metro,south
partnered,48,13.0,NH white,republican,mormon,male,working,a building with 2 or more apartments,rented for cash,metro,west
partnered,44,20.0, NH Amer Indian,democrat,none,female,disabled,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
partnered,58,16.0,NH white,democrat,"other non-christian, please specify",male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
partnered,21,13.0,Hispanic,democrat,none,male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
partnered,30,14.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest
partnered,51,16.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest
partnered,38,13.0,Hispanic,democrat,"other non-christian, please specify",female,working,a one-family house detached from any other house,occupied without payment of cash rent,metro,west
partnered,28,13.0,NH white,democrat,"other non-christian, please specify",female,other,a one-family house detached from any other house,rented for cash,metro,west
partnered,44,13.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",female,working,a building with 2 or more apartments,rented for cash,metro,northeast
single,45,20.0,NH white,democrat,"other non-christian, please specify",male,working,a building with 2 or more apartments,rented for cash,metro,west
single,54,17.0,NH white,democrat,"other non-christian, please specify",female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,northeast
single,24,13.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",male,working,a building with 2 or more apartments,rented for cash,metro,west
partnered,33,12.0,NH white,democrat,none,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
partnered,43,13.0,Hispanic,democrat,catholic,male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
partnered,32,16.0, NH black,democrat,baptist - any denomination,female,working,a building with 2 or more apartments,rented for cash,metro,northeast
single,50,14.0,NH white,democrat,none,male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
single,78,13.0,NH white,democrat,other christian,male,unemployed,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west
partnered,45,10.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",male,disabled,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
single,50,16.0,NH white,democrat,other christian,male,working,a building with 2 or more apartments,rented for cash,metro,west
partnered,48,14.0,NH white,democrat,catholic,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,northeast
partnered,53,16.0,NH white,democrat,other christian,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,northeast
single,61,20.0,NH white,democrat,other christian,female,working,a building with 2 or more apartments,rented for cash,non-metro,west
partnered,59,12.0,NH white,democrat,none,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west
partnered,53,13.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",male,unemployed,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,northeast
partnered,40,16.0, NH black,democrat,baptist - any denomination,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest
partnered,70,20.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",male,retired,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west
partnered,45,17.0,NH white,republican,other christian,female,other,a one-family house detached from any other house,rented for cash,metro,south
partnered,56,13.0,Hispanic,democrat,catholic,male,disabled,a one-family house detached from any other house,rented for cash,metro,south
partnered,49,16.0, NH Asian Pac Islander,republican,other christian,female,other,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west
partnered,53,13.0,NH white,democrat,none,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west
single,43,16.0,NH white,democrat,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",male,working,a one-family house attached to one or more houses,owned or being bought by you or someone in your household,metro,midwest
partnered,53,12.0,NH white,democrat,catholic,male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,west
partnered,53,12.0,NH white,democrat,catholic,male,disabled,a mobile home,owned or being bought by you or someone in your household,metro,northeast
partnered,59,16.0,NH white,democrat,none,male,working,a building with 2 or more apartments,owned or being bought by you or someone in your household,metro,west
single,45,14.0,NH white,republican,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest
partnered,61,9.0, NH black,democrat,none,female,disabled,a building with 2 or more apartments,rented for cash,metro,northeast
partnered,57,16.0, NH Other,democrat,none,female,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,south
partnered,50,16.0,NH white,other,"protestant (e.g., methodist, lutheran, presbyterian, episcopal)",male,working,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,midwest
partnered,46,16.0,NH white,democrat,none,male,other,a one-family house detached from any other house,owned or being bought by you or someone in your household,metro,northeast
